sub_id,gender,age
923,Male,11.01944444
198,Male,8.258333333
782,Female,12.74444444
863,Male,16.55277778
887,Male,10.22222222
796,Female,17.50277778
808,Male,10.1
809,Male,13.00833333
211,Female,12.38611111
250,Male,17.67777778
641,Male,9.994444444
513,Male,14.90277778
515,Male,15.07777778
593,Female,11.99166667
594,Female,15.74722222
277,Female,15.80555556
407,Male,13.03611111
519,Male,12.61666667
582,Female,13.60833333
403,Female,16.12222222
924,Male,8.941666667
930,Male,8.541666667
A1176,Female,22.48888889
A294,Male,25.46111111
A333,Male,25.64444444
839,Male,8.480555556
139,Female,10.625
120,Female,9.305555556
A1161,Female,21.36111111
935,Male,9.966666667
814,Female,9.291666667
570,Male,8.522222222
646,Male,8.008333333
733,Female,10.96944444
908,Female,11.65277778
909,Female,9.069444444
929,Male,13.18055556
208,Female,10.44444444
870,Female,11.02222222
914,Male,9.441666667
946,Female,9.388888889
947,Male,9.386111111
875,Female,9.958333333
A367,Male,23.98888889
A476,Female,22.80555556
600,Female,13.42777778
130,Male,11.50833333
954,Female,15.65277778
957,Male,13.72777778
959,Male,12.67222222
871,Female,11.40277778
A927,Male,22.44166667
A1225,Female,18.69444444
900,Female,11.66111111
627,Male,14.13888889
459,Male,15.49444444
A1379,Female,18.29444444
979,Female,11.64444444
980,Female,10.25277778
995,Male,11.93611111
A1353,Female,19.34166667
A385,Male,21.11944444
976,Female,10.68333333
1025,Female,8.369444444
A1406,Male,19.54166667
1046,Male,16.90555556
A1411,Female,25.71666667
628,Male,11.53611111
A1232,Male,19.38055556
1054,Female,14.32777778
1050,Female,8.088888889
A577,Female,23.45
1080,Female,8.511111111
543,Female,9.241666667
1079,Female,12.51388889
A480,Female,25.16666667
1086,Female,8.041666667
889,Female,12.34722222
311,Female,16.62777778
890,Female,15.00833333
1089,Female,16.19722222
1069,Male,13.73611111
527,Male,15.175
595,Female,16.22222222
228,Female,17.54166667
179,Male,10.63333333
180,Male,10.63333333
216,Female,15.53055556
217,Female,14.55277778
226,Male,12.35555556
239,Male,17.40833333
245,Male,10.21666667
192,Male,15.16111111
795,Male,11.075
A102,Male,20.11666667
A1032,Female,23.88888889
A106,Female,19.75555556
A1068,Male,22.21111111
A107,Female,21.57222222
A109,Female,20.10555556
A1107,Male,24.50833333
A111,Male,22.28055556
A1124,Female,22.89166667
A116,Female,21.06388889
A130,Male,22.45
A188,Female,18.91666667
A198,Female,22.3
A206,Female,23.35277778
A785,Male,24.09722222
A790,Female,24.75833333
A791,Female,25.69444444
A896,Female,24.43055556
A941,Male,25.62777778
A428,Female,24.59444444
A544,Male,20.57222222
A553,Male,25.93333333
A557,Male,24.17222222
A586,Male,19.40555556
147,Male,13.21666667
188,Male,16.36944444
197,Female,11.53888889
291,Male,16.52222222
857,Female,17.21111111
858,Female,16.00555556
894,Male,9.975
859,Female,13.53611111
A535,Female,25.275
A573,Male,21.16944444
236,Female,12.58611111
A110,Female,20.38055556
200,Female,9.569444444
960,Male,10.96944444
249,Male,14.91388889
182,Male,14.42777778
A1358,Male,18.41388889
117,Female,16.625
A1380,Male,20.90833333
841,Female,14.11111111
A161,Female,20.96111111
A115,Male,21.88333333
A121,Female,20.425
981,Female,15.2
842,Female,17.88333333
A675,Male,23.66666667
231,Male,14.55
143,Male,14.26388889
A217,Female,25.76388889
A137,Female,25.35277778
A1354,Male,18.33333333
202,Male,13.98333333
1018,Female,16.06944444
1030,Female,16.43611111
1078,Male,14.675
1119,Female,13.975
