sub_id,mars_acc
1018,0.631578947368421
1025,0.3442622950819672
1030,0.5454545454545454
1046,0.8125
1050,0.32
1054,0.34545454545454546
1069,0.5102040816326531
1078,0.25806451612903225
1079,0.5757575757575758
1080,0.5121951219512195
1086,0.4507042253521127
1089,0.6285714285714286
1119,0.5609756097560976
117,0.5277777777777778
120,0.22535211267605634
130,0.5
139,0.3375
143,0.5319148936170213
147,0.4827586206896552
179,0.3469387755102041
180,0.3561643835616438
182,0.74
188,0.7857142857142857
192,0.7
197,0.4875
198,0.38235294117647056
200,0.375
202,0.7777777777777778
208,0.6
211,0.4117647058823529
216,0.6136363636363636
217,0.40476190476190477
226,0.6764705882352942
228,0.2375
231,0.7088607594936709
236,0.2625
239,0.8285714285714286
245,0.5094339622641509
249,0.4
250,0.5714285714285714
277,0.7407407407407407
291,0.425
311,0.55
403,0.8636363636363636
407,0.5
459,0.4727272727272727
513,0.38461538461538464
515,0.5555555555555556
519,0.90625
527,0.39622641509433965
543,0.5238095238095238
570,0.379746835443038
582,0.38961038961038963
593,0.3709677419354839
594,0.3333333333333333
595,0.7435897435897436
600,0.725
627,0.3625
628,0.5178571428571429
641,0.40540540540540543
646,0.19230769230769232
733,0.7777777777777778
782,0.4090909090909091
795,0.31666666666666665
796,0.41935483870967744
808,0.35384615384615387
809,0.4423076923076923
814,0.37681159420289856
839,0.4393939393939394
841,0.325
842,0.5147058823529411
857,0.6428571428571429
858,0.6857142857142857
859,0.3561643835616438
863,0.5
870,0.46511627906976744
871,0.5238095238095238
875,0.22784810126582278
887,0.52
889,0.3375
890,0.5806451612903226
894,0.3116883116883117
900,0.4117647058823529
908,0.75
909,0.6571428571428571
914,0.631578947368421
923,0.6176470588235294
924,0.3
929,0.8666666666666667
930,0.5681818181818182
935,0.6410256410256411
946,0.47058823529411764
947,0.3717948717948718
954,0.25316455696202533
957,0.42028985507246375
959,0.5588235294117647
960,0.4375
976,0.6111111111111112
979,0.5686274509803921
980,0.3698630136986301
981,0.72
995,0.4666666666666667
A102,0.8
A1032,0.7027027027027027
A105,0.3375
A106,0.3875
A1068,0.38235294117647056
A107,0.3333333333333333
A109,0.26666666666666666
A110,0.5882352941176471
A1107,0.3375
A111,0.6857142857142857
A1124,0.6792452830188679
A115,0.7948717948717948
A116,0.4222222222222222
A1161,0.7272727272727273
A1176,0.8823529411764706
A121,0.5357142857142857
A1225,0.8378378378378378
A1232,0.525
A130,0.6666666666666666
A1353,0.6428571428571429
A1354,0.7
A1358,0.9142857142857143
A137,0.4444444444444444
A1379,0.7948717948717948
A1380,0.6666666666666666
A1406,0.8888888888888888
A1411,0.64
A161,0.9069767441860465
A188,0.6097560975609756
A198,0.631578947368421
A206,0.7719298245614035
A217,0.5555555555555556
A294,0.9743589743589743
A333,0.56
A367,0.4647887323943662
A385,0.42592592592592593
A428,0.5
A476,0.38
A480,0.4852941176470588
A535,0.6785714285714286
A544,0.5901639344262295
A553,0.88
A557,0.42105263157894735
A573,0.4246575342465753
A577,0.6666666666666666
A586,0.8518518518518519
A675,0.36
A785,0.725
A790,0.7307692307692307
A791,0.8064516129032258
A896,0.6470588235294118
A927,0.425
A941,0.3225806451612903
