age_group,sub_id,persev_score
Adolescents,1018,-0.0017522160379303264
Children,1025,0.0935889507318079
Adolescents,1030,0.043008474576271216
Adolescents,1046,0.042564050219454946
Children,1050,0.6949462365591398
Adolescents,1054,0.050201010205133484
Adolescents,1069,-0.01090342679127726
Adolescents,1078,0.07587628865979382
Children,1079,-0.003042155584528472
Children,1080,0.023809523809523808
Children,1086,0.006470165348670037
Adolescents,1089,0.004693877551020409
Adolescents,1119,0.2362311296199896
Adolescents,117,2.0439448134901284e-4
Children,130,0.11505332239540605
Children,139,0.3462009803921569
Adolescents,143,-0.018883331632132294
Adolescents,147,0.031950844854070626
Children,179,0.010256410256410262
Adolescents,182,0.05185185185185187
Adolescents,188,0.03684801469837706
Adolescents,192,-0.028944618599790972
Children,198,-0.05579937304075239
Children,200,-0.007543216343635417
Adolescents,202,-0.08518518518518517
Children,208,0.11919024994835775
Children,211,0.10137966274910579
Adolescents,216,-0.14241486068111459
Adolescents,217,0.04672603457307492
Children,226,-0.015102040816326545
Adolescents,228,-0.06163155535634246
Adolescents,231,0.05083188731244259
Children,236,0.11415711947626841
Adolescents,239,0.0828689370485036
Children,245,0.07551020408163261
Adolescents,249,0.06583648055527203
Adolescents,250,-0.05909090909090908
Adolescents,277,0.1842616249361267
Adolescents,291,0.057017543859649134
Adolescents,311,0.17407825819040776
Adolescents,403,0.08612244897959187
Adolescents,407,0.06150959132610509
Adolescents,513,0.06762189465003607
Adolescents,515,0.028027823240589195
Children,519,0.21082474226804124
Adolescents,527,0.09090909090909094
Children,543,0.08540706605222734
Children,593,0.11824877250409163
Adolescents,594,0.16283643892339544
Adolescents,595,0.07272727272727272
Adolescents,600,-0.07951413698070836
Adolescents,627,0.08094314586097784
Children,628,0.05021945493518423
Children,641,0.08854489164086686
Children,646,0.15555555555555556
Children,733,0.06612244897959185
Children,782,-0.06411733892090099
Children,795,0.07019894856200393
Adolescents,796,0.23232323232323232
Children,814,0.0874947981689555
Children,839,0.11469387755102042
Adolescents,841,0.014489795918367354
Adolescents,842,-0.05927439959121103
Adolescents,857,-0.07936833470057425
Adolescents,858,0.013480392156862725
Adolescents,859,0.03510204081632656
Adolescents,863,-0.09591836734693876
Children,870,0.13795918367346938
Children,871,0.07291666666666666
Children,875,0.08293593199253577
Children,887,0.04480360065466449
Children,889,0.1414409810935105
Adolescents,890,0.08551020408163265
Children,894,0.1178932326222313
Children,900,0.1060049019607843
Children,908,0.022762070021435155
Children,909,-0.063999183423497
Children,914,0.10074512605899766
Children,923,0.008277976494634631
Children,924,-0.0478723404255319
Adolescents,929,0.014742524916943556
Children,930,0.024936126724578428
Children,935,0.03803339517625229
Children,946,0.0406832298136646
Children,947,-0.005222734254992312
Adolescents,954,-0.03544061302681992
Adolescents,957,0.013916091124626329
Children,959,-0.09438225326075791
Children,976,8.1833060556466e-4
Children,979,0
Children,980,0.22626841243862522
Adolescents,981,0.10680016687526073
Children,995,0.03824348005360273
Adults,A102,0.11197110423116619
Adults,A1032,-0.027142857142857135
Adults,A106,0.03324013668841255
Adults,A1068,0.1106295149638803
Adults,A107,0.048586301929161996
Adults,A109,0.1659090909090909
Adults,A110,0.06740196078431371
Adults,A111,0.07124629988772072
Adults,A1124,0.051200817577925384
Adults,A115,-0.007533539731682165
Adults,A116,0.08639705882352938
Adults,A1161,0.10612244897959183
Adults,A1176,-0.002272727272727315
Adults,A121,-0.08645886561062852
Adults,A1225,0.11206077872744538
Adults,A1232,0.04152034703573643
Adults,A130,-0.031534325889164605
Adults,A1353,0.09984639016897084
Adults,A1354,-0.05848729202817188
Adults,A1358,0.04385964912280699
Adults,A137,0.044634377967711275
Adults,A1379,-0.06373983739837397
Adults,A1380,-0.06318260692048586
Adults,A1406,0.07070707070707069
Adults,A1411,0.09681372549019607
Adults,A161,-0.026960784313725478
Adults,A188,-0.020471464019851116
Adults,A198,-0.018066755129121148
Adults,A206,0.05475799835931089
Adults,A217,-0.12034296213126464
Adults,A294,-0.03431372549019607
Adults,A333,-0.025510204081632654
Adults,A367,0.07070707070707072
Adults,A385,0.016530612244897963
Adults,A428,-0.004716981132075471
Adults,A476,0.09953917050691244
Adults,A480,-0.026960784313725505
Adults,A535,0.09444444444444446
Adults,A544,0.05413105413105415
Adults,A557,0.045510204081632616
Adults,A573,0.04259259259259257
Adults,A577,0.018518518518518545
Adults,A586,0.04388843314191959
Adults,A675,-0.05237315875613752
Adults,A785,-0.02889095992544269
Adults,A790,0.08863099517305123
Adults,A791,-0.05448979591836739
Adults,A896,0.007757476778605693
Adults,A941,-0.052056752066959255
