matlab_id,trial,frequent_choice
1,1,1
1,2,2
1,3,4
1,4,3
1,5,1
1,6,1
1,7,1
1,8,4
1,9,1
1,10,2
1,11,1
1,12,3
1,13,3
1,14,4
1,15,1
1,16,3
1,17,4
1,18,4
1,19,3
1,20,3
1,21,4
1,22,4
1,23,4
1,24,2
1,25,4
1,26,2
1,27,3
1,28,3
1,29,1
1,30,3
1,31,3
1,32,4
1,33,4
1,34,3
1,35,2
1,36,2
1,37,3
1,38,4
1,39,4
1,40,3
1,41,4
1,42,1
1,43,4
1,44,4
1,45,4
1,46,4
1,47,4
1,48,3
1,49,4
1,50,4
1,51,1
1,52,4
1,53,4
1,54,4
1,55,1
1,56,1
1,57,4
1,58,3
1,59,3
1,60,3
1,61,1
1,62,1
1,63,1
1,64,2
1,65,4
1,66,3
1,67,4
1,68,4
1,69,2
1,70,4
1,71,3
1,72,4
1,73,2
1,74,4
1,75,4
1,76,3
1,77,4
1,78,1
1,79,3
1,80,4
1,81,4
1,82,3
1,83,4
1,84,3
1,85,4
1,86,2
1,87,3
1,88,4
1,89,3
1,90,2
1,91,3
1,92,3
1,93,3
1,94,3
1,95,4
1,96,3
1,97,4
1,98,2
1,99,4
1,100,3
1,101,2
1,102,2
1,103,3
1,104,2
1,105,4
1,106,1
1,107,2
1,108,1
1,109,2
1,110,1
1,111,1
1,112,1
1,113,3
1,114,1
1,115,1
1,116,1
1,117,1
1,118,2
1,119,1
1,120,2
1,121,3
1,122,1
1,123,2
1,124,2
1,125,2
1,126,2
1,127,1
1,128,2
1,129,1
1,130,1
1,131,1
1,132,1
1,133,1
1,134,3
1,135,1
1,136,1
1,137,1
1,138,1
1,139,1
1,140,1
1,141,1
1,142,1
1,143,1
1,144,1
1,145,2
1,146,2
1,147,1
1,148,1
1,149,2
1,150,1
1,151,1
1,152,2
1,153,1
1,154,2
1,155,3
1,156,2
1,157,1
1,158,1
1,159,2
1,160,1
1,161,1
1,162,2
1,163,1
1,164,2
1,165,1
1,166,2
1,167,2
1,168,2
1,169,2
1,170,1
1,171,1
1,172,1
1,173,1
1,174,2
1,175,1
1,176,2
1,177,2
1,178,1
1,179,2
1,180,2
1,181,1
1,182,2
1,183,2
1,184,1
1,185,1
1,186,2
1,187,1
1,188,1
1,189,1
1,190,1
1,191,2
1,192,1
1,193,2
1,194,1
1,195,2
1,196,1
1,197,2
1,198,1
1,199,2
1,200,1
3,1,2
3,2,2
3,3,4
3,4,4
3,5,1
3,6,2
3,7,1
3,8,4
3,9,1
3,10,3
3,11,1
3,12,1
3,13,1
3,14,2
3,15,3
3,16,3
3,17,1
3,18,1
3,19,1
3,20,2
3,21,3
3,22,3
3,23,1
3,24,2
3,25,3
3,26,1
3,27,2
3,28,1
3,29,1
3,30,2
3,31,1
3,32,2
3,33,1
3,34,1
3,35,1
3,36,3
3,37,2
3,38,2
3,39,4
3,40,2
3,41,1
3,42,2
3,43,2
3,44,1
3,45,1
3,46,3
3,47,3
3,48,1
3,49,1
3,50,1
3,51,1
3,52,2
3,53,4
3,54,3
3,55,2
3,56,2
3,57,1
3,58,1
3,59,2
3,60,2
3,61,4
3,62,3
3,63,1
3,64,1
3,65,1
3,66,1
3,67,4
3,68,1
3,69,4
3,70,1
3,71,2
3,72,2
3,73,1
3,74,2
3,75,2
3,76,3
3,77,1
3,78,1
3,79,2
3,80,3
3,81,1
3,82,1
3,83,1
3,84,1
3,85,1
3,86,1
3,87,1
3,88,2
3,89,2
3,90,1
3,91,3
3,92,2
3,93,4
3,94,1
3,95,2
3,96,2
3,97,2
3,98,1
3,99,2
3,100,2
3,101,2
3,102,1
3,103,2
3,104,2
3,105,4
3,106,4
3,107,3
3,108,3
3,109,4
3,110,3
3,111,3
3,112,3
3,113,3
3,114,3
3,115,3
3,116,3
3,117,4
3,118,4
3,119,3
3,120,3
3,121,3
3,122,3
3,123,3
3,124,4
3,125,3
3,126,3
3,127,3
3,128,3
3,129,3
3,130,3
3,131,3
3,132,3
3,133,3
3,134,3
3,135,3
3,136,4
3,137,3
3,138,3
3,139,3
3,140,4
3,141,3
3,142,4
3,143,3
3,144,3
3,145,3
3,146,3
3,147,3
3,148,4
3,149,4
3,150,3
3,151,3
3,152,4
3,153,4
3,154,4
3,155,4
3,156,4
3,157,4
3,158,4
3,159,4
3,160,3
3,161,4
3,162,4
3,163,3
3,164,4
3,165,4
3,166,4
3,167,3
3,168,3
3,169,4
3,170,4
3,171,3
3,172,4
3,173,4
3,174,3
3,175,4
3,176,3
3,177,3
3,178,3
3,179,3
3,180,4
3,181,4
3,182,3
3,183,4
3,184,3
3,185,3
3,186,4
3,187,3
3,188,4
3,189,4
3,190,4
3,191,4
3,192,4
3,193,4
3,194,4
3,195,4
3,196,3
3,197,4
3,198,4
3,199,4
3,200,3
6,1,1
6,2,4
6,3,4
6,4,3
6,5,1
6,6,3
6,7,4
6,8,3
6,9,3
6,10,3
6,11,3
6,12,4
6,13,4
6,14,4
6,15,4
6,16,3
6,17,4
6,18,3
6,19,3
6,20,4
6,21,4
6,22,3
6,23,3
6,24,3
6,25,4
6,26,3
6,27,4
6,28,3
6,29,4
6,30,3
6,31,3
6,32,4
6,33,4
6,34,3
6,35,3
6,36,4
6,37,3
6,38,3
6,39,4
6,40,3
6,41,3
6,42,3
6,43,4
6,44,4
6,45,3
6,46,3
6,47,3
6,48,4
6,49,3
6,50,4
6,51,3
6,52,4
6,53,3
6,54,3
6,55,3
6,56,4
6,57,3
6,58,4
6,59,3
6,60,3
6,61,3
6,62,3
6,63,3
6,64,3
6,65,3
6,66,3
6,67,3
6,68,3
6,69,3
6,70,3
6,71,3
6,72,3
6,73,3
6,74,3
6,75,3
6,76,3
6,77,3
6,78,3
6,79,3
6,80,3
6,81,3
6,82,3
6,83,3
6,84,3
6,85,3
6,86,3
6,87,3
6,88,3
6,89,3
6,90,3
6,91,3
6,92,3
6,93,3
6,94,4
6,95,3
6,96,3
6,97,3
6,98,3
6,99,4
6,100,4
6,101,2
6,102,1
6,103,1
6,104,3
6,105,1
6,106,1
6,107,1
6,108,1
6,109,1
6,110,1
6,111,1
6,112,1
6,113,1
6,114,1
6,115,1
6,116,1
6,117,1
6,118,1
6,119,1
6,120,1
6,121,1
6,122,1
6,123,1
6,124,1
6,125,1
6,126,1
6,127,1
6,128,1
6,129,1
6,130,1
6,131,1
6,132,1
6,133,1
6,134,1
6,135,1
6,136,1
6,137,1
6,138,1
6,139,1
6,140,1
6,141,1
6,142,1
6,143,1
6,144,1
6,145,1
6,146,1
6,147,1
6,148,1
6,149,1
6,150,1
6,151,1
6,152,1
6,153,1
6,154,1
6,155,1
6,156,1
6,157,1
6,158,1
6,159,1
6,160,1
6,161,1
6,162,1
6,163,1
6,164,1
6,165,1
6,166,1
6,167,1
6,168,1
6,169,1
6,170,1
6,171,1
6,172,1
6,173,1
6,174,1
6,175,1
6,176,1
6,177,1
6,178,1
6,179,1
6,180,1
6,181,1
6,182,1
6,183,1
6,184,1
6,185,1
6,186,1
6,187,1
6,188,1
6,189,1
6,190,1
6,191,1
6,192,1
6,193,1
6,194,1
6,195,1
6,196,1
6,197,1
6,198,1
