"","sub_id","likelihood_prop","riskiness_prop","benefits_prop","CDI_prop","Ethical_prop","Ethical_likelihood_prop","Ethical_riskiness_prop","Ethical_benefits_prop","Social_prop","Social_likelihood_prop","Social_riskiness_prop","Social_benefits_prop","Recreational_prop","Recreational_likelihood_prop","Recreational_riskiness_prop","Recreational_benefits_prop","Financial_prop","Financial_likelihood_prop","Financial_riskiness_prop","Financial_benefits_prop","HS_prop","HS_likelihood_prop","HS_riskiness_prop","HS_benefits_prop","attention_prop"
"1","A102",0.419047619047619,0.552380952380952,0.352380952380952,0.166666666666667,0.373015873015873,0.357142857142857,0.5,0.261904761904762,0.563492063492063,0.666666666666667,0.476190476190476,0.547619047619048,0.412698412698413,0.357142857142857,0.523809523809524,0.357142857142857,0.428571428571429,0.261904761904762,0.69047619047619,0.333333333333333,0.428571428571429,0.452380952380952,0.571428571428571,0.261904761904762,1
"2","A109",0.461904761904762,0.652380952380952,0.39047619047619,0.0333333333333333,0.428571428571429,0.30952380952381,0.714285714285714,0.261904761904762,0.619047619047619,0.904761904761905,0.166666666666667,0.785714285714286,0.587301587301587,0.571428571428571,0.642857142857143,0.547619047619048,0.444444444444444,0.285714285714286,0.880952380952381,0.166666666666667,0.428571428571429,0.238095238095238,0.857142857142857,0.19047619047619,1
"3","A785",0.576190476190476,0.614285714285714,0.457142857142857,0.233333333333333,0.492063492063492,0.523809523809524,0.5,0.452380952380952,0.571428571428571,0.69047619047619,0.547619047619048,0.476190476190476,0.492063492063492,0.5,0.714285714285714,0.261904761904762,0.682539682539683,0.571428571428571,0.642857142857143,0.833333333333333,0.507936507936508,0.595238095238095,0.666666666666667,0.261904761904762,0.75
"4","A105",0.566666666666667,0.70952380952381,0.319047619047619,0.383333333333333,0.515873015873016,0.452380952380952,0.833333333333333,0.261904761904762,0.674603174603175,0.80952380952381,0.619047619047619,0.595238095238095,0.46031746031746,0.428571428571429,0.69047619047619,0.261904761904762,0.436507936507937,0.404761904761905,0.619047619047619,0.285714285714286,0.571428571428571,0.738095238095238,0.785714285714286,0.19047619047619,1
"5","A428",0.385714285714286,0.614285714285714,0.285714285714286,0.3,0.404761904761905,0.452380952380952,0.261904761904762,0.5,0.563492063492063,0.785714285714286,0.404761904761905,0.5,0.349206349206349,0.142857142857143,0.761904761904762,0.142857142857143,0.396825396825397,0.142857142857143,0.904761904761905,0.142857142857143,0.428571428571429,0.404761904761905,0.738095238095238,0.142857142857143,1
"6","A1107",0.571428571428571,0.942857142857143,0.571428571428571,0,0.714285714285714,0.571428571428571,1,0.571428571428571,0.69047619047619,0.571428571428571,0.928571428571429,0.571428571428571,0.69047619047619,0.571428571428571,0.928571428571429,0.571428571428571,0.666666666666667,0.571428571428571,0.857142857142857,0.571428571428571,0.714285714285714,0.571428571428571,1,0.571428571428571,0
"7","A1068",0.738095238095238,0.442857142857143,0.704761904761905,0,0.611111111111111,0.595238095238095,0.547619047619048,0.69047619047619,0.603174603174603,0.785714285714286,0.285714285714286,0.738095238095238,0.674603174603175,0.904761904761905,0.238095238095238,0.880952380952381,0.722222222222222,0.785714285714286,0.547619047619048,0.833333333333333,0.531746031746032,0.619047619047619,0.595238095238095,0.380952380952381,1
"8","A791",0.485714285714286,0.6,0.476190476190476,0.3,0.428571428571429,0.357142857142857,0.5,0.428571428571429,0.658730158730159,0.833333333333333,0.452380952380952,0.69047619047619,0.571428571428571,0.523809523809524,0.619047619047619,0.571428571428571,0.523809523809524,0.404761904761905,0.69047619047619,0.476190476190476,0.420634920634921,0.30952380952381,0.738095238095238,0.214285714285714,1
"9","A107",0.476190476190476,0.79047619047619,0.414285714285714,0.1,0.484126984126984,0.333333333333333,0.785714285714286,0.333333333333333,0.658730158730159,0.785714285714286,0.69047619047619,0.5,0.579365079365079,0.5,0.785714285714286,0.452380952380952,0.579365079365079,0.30952380952381,0.857142857142857,0.571428571428571,0.5,0.452380952380952,0.833333333333333,0.214285714285714,1
"10","A557",0.361904761904762,0.604761904761905,0.528571428571429,0.1,0.476190476190476,0.261904761904762,0.642857142857143,0.523809523809524,0.531746031746032,0.547619047619048,0.571428571428571,0.476190476190476,0.579365079365079,0.5,0.642857142857143,0.595238095238095,0.484126984126984,0.214285714285714,0.619047619047619,0.619047619047619,0.420634920634921,0.285714285714286,0.547619047619048,0.428571428571429,0.5
"11","A111",0.614285714285714,0.438095238095238,0.461904761904762,0.2,0.5,0.571428571428571,0.5,0.428571428571429,0.579365079365079,0.857142857142857,0.428571428571429,0.452380952380952,0.563492063492063,0.571428571428571,0.547619047619048,0.571428571428571,0.476190476190476,0.619047619047619,0.238095238095238,0.571428571428571,0.404761904761905,0.452380952380952,0.476190476190476,0.285714285714286,1
"12","A206",0.49047619047619,0.561904761904762,0.471428571428571,0,0.452380952380952,0.404761904761905,0.523809523809524,0.428571428571429,0.523809523809524,0.714285714285714,0.261904761904762,0.595238095238095,0.619047619047619,0.714285714285714,0.547619047619048,0.595238095238095,0.5,0.285714285714286,0.738095238095238,0.476190476190476,0.444444444444444,0.333333333333333,0.738095238095238,0.261904761904762,1
"13","A106",0.433333333333333,0.6,0.504761904761905,0.25,0.476190476190476,0.357142857142857,0.595238095238095,0.476190476190476,0.563492063492063,0.547619047619048,0.452380952380952,0.69047619047619,0.5,0.333333333333333,0.69047619047619,0.476190476190476,0.515873015873016,0.428571428571429,0.666666666666667,0.452380952380952,0.507936507936508,0.5,0.595238095238095,0.428571428571429,1
"14","A896",0.633333333333333,0.447619047619048,0.638095238095238,0.116666666666667,0.515873015873016,0.452380952380952,0.452380952380952,0.642857142857143,0.626984126984127,0.714285714285714,0.452380952380952,0.714285714285714,0.619047619047619,0.714285714285714,0.452380952380952,0.69047619047619,0.571428571428571,0.547619047619048,0.476190476190476,0.69047619047619,0.531746031746032,0.738095238095238,0.404761904761905,0.452380952380952,1
"15","A586",0.338095238095238,0.761904761904762,0.428571428571429,0.2,0.476190476190476,0.333333333333333,0.714285714285714,0.380952380952381,0.571428571428571,0.428571428571429,0.738095238095238,0.547619047619048,0.563492063492063,0.214285714285714,0.928571428571429,0.547619047619048,0.452380952380952,0.404761904761905,0.523809523809524,0.428571428571429,0.484126984126984,0.30952380952381,0.904761904761905,0.238095238095238,1
"16","A130",0.566666666666667,0.714285714285714,0.509523809523809,0.0166666666666667,0.515873015873016,0.404761904761905,0.761904761904762,0.380952380952381,0.682539682539683,0.833333333333333,0.476190476190476,0.738095238095238,0.706349206349206,0.833333333333333,0.619047619047619,0.666666666666667,0.603174603174603,0.5,0.785714285714286,0.523809523809524,0.476190476190476,0.261904761904762,0.928571428571429,0.238095238095238,1
"17","A790",0.361904761904762,0.771428571428571,0.338095238095238,0.2,0.46031746031746,0.166666666666667,0.952380952380952,0.261904761904762,0.563492063492063,0.69047619047619,0.380952380952381,0.619047619047619,0.53968253968254,0.523809523809524,0.738095238095238,0.357142857142857,0.444444444444444,0.166666666666667,0.880952380952381,0.285714285714286,0.444444444444444,0.261904761904762,0.904761904761905,0.166666666666667,0.25
"18","A188",0.371428571428571,0.804761904761905,0.361904761904762,0.183333333333333,0.436507936507937,0.30952380952381,0.785714285714286,0.214285714285714,0.666666666666667,0.619047619047619,0.619047619047619,0.761904761904762,0.412698412698413,0.142857142857143,0.952380952380952,0.142857142857143,0.507936507936508,0.285714285714286,0.833333333333333,0.404761904761905,0.53968253968254,0.5,0.833333333333333,0.285714285714286,1
