alpha_pos,alpha_neg,risk_good_reward,risk_bad_reward
0.05,0.05,1.57692307692308,4.57692307692307
0.15,0.05,29.3461538461539,-6.92307692307693
0.25,0.05,22.6923076923077,3
0.35,0.05,4.11538461538462,6.53846153846154
0.45,0.05,4.73076923076923,4.07692307692307
0.55,0.05,21.1923076923077,6.42307692307693
0.65,0.05,8.38461538461539,10
0.75,0.05,4.65384615384616,10.3461538461538
0.85,0.05,-4.46153846153846,4.5
0.95,0.05,-7.15384615384615,11.5769230769231
0.05,0.15,-7.76923076923077,0.538461538461539
0.15,0.15,7.34615384615385,9.69230769230769
0.25,0.15,1.57692307692308,4.34615384615384
0.35,0.15,1.96153846153846,2.5
0.45,0.15,2.11538461538462,10.4230769230769
0.55,0.15,-1.34615384615384,6.30769230769231
0.65,0.15,-14.1153846153846,-0.307692307692309
0.75,0.15,-6.73076923076923,5.34615384615385
0.85,0.15,-9.30769230769231,-2.80769230769231
0.95,0.15,-2.23076923076923,0.923076923076924
0.05,0.25,-4.96153846153846,5.65384615384615
0.15,0.25,-8.19230769230769,6.73076923076923
0.25,0.25,-13.1538461538462,13.8846153846154
0.35,0.25,-5.07692307692308,6.61538461538461
0.45,0.25,-13.2307692307692,17.3461538461539
0.55,0.25,-15.4615384615385,4.84615384615385
0.65,0.25,2.19230769230769,-3.53846153846154
0.75,0.25,1.96153846153846,2.30769230769231
0.85,0.25,-3.65384615384615,4.92307692307692
0.95,0.25,14.3076923076923,11.9615384615385
0.05,0.35,-9.73076923076923,9.96153846153846
0.15,0.35,-4.69230769230769,6.07692307692308
0.25,0.35,-4.15384615384615,10.5
0.35,0.35,4.07692307692308,5.57692307692308
0.45,0.35,0.884615384615386,5
0.55,0.35,-13.1538461538462,3.46153846153846
0.65,0.35,-6.11538461538462,5.07692307692308
0.75,0.35,3,-0.692307692307696
0.85,0.35,0.153846153846155,9
0.95,0.35,4.80769230769231,9.61538461538461
0.05,0.45,-12.7692307692308,8.46153846153846
0.15,0.45,-10.3076923076923,7.42307692307692
0.25,0.45,-8.5,2.69230769230769
0.35,0.45,-7.23076923076923,8.15384615384616
0.45,0.45,0.884615384615386,7.03846153846154
0.55,0.45,-11.5,8.69230769230769
0.65,0.45,-16.3076923076923,2.42307692307692
0.75,0.45,0.423076923076926,5.23076923076923
0.85,0.45,-6.15384615384615,2.15384615384615
0.95,0.45,-9.92307692307692,5
0.05,0.55,-1.34615384615385,-1.73076923076923
0.15,0.55,-6.84615384615385,8.84615384615385
0.25,0.55,-4.53846153846153,9.46153846153846
0.35,0.55,-4.88461538461538,9.23076923076923
0.45,0.55,-10.3461538461538,8.92307692307692
0.55,0.55,-10.2692307692308,8.88461538461538
0.65,0.55,2.76923076923077,-2.65384615384615
0.75,0.55,0.730769230769233,6.5
0.85,0.55,-0.0769230769230751,8.69230769230769
0.95,0.55,-7,2
0.05,0.65,-13.1153846153846,10.1153846153846
0.15,0.65,0.115384615384617,7.65384615384616
0.25,0.65,-0.384615384615382,-0.153846153846155
0.35,0.65,-6.73076923076923,6.42307692307692
0.45,0.65,-10.3461538461538,8.88461538461539
0.55,0.65,-11.3846153846154,7.46153846153846
0.65,0.65,-2.57692307692308,5.11538461538461
0.75,0.65,-5.23076923076923,3.84615384615385
0.85,0.65,-11.4615384615385,9.53846153846154
0.95,0.65,-6.03846153846154,13.8846153846154
0.05,0.75,-7.26923076923077,7.07692307692308
0.15,0.75,-5,6.46153846153846
0.25,0.75,-12.2692307692308,4.38461538461539
0.35,0.75,-10.1923076923077,10.5384615384615
0.45,0.75,-8.80769230769231,6.15384615384615
0.55,0.75,-7.5,8.61538461538462
0.65,0.75,-14.5384615384615,4.65384615384615
0.75,0.75,5.42307692307693,5.96153846153846
0.85,0.75,-9.76923076923077,11.9230769230769
0.95,0.75,-7.30769230769231,9.57692307692307
0.05,0.85,-7.11538461538461,6.96153846153846
0.15,0.85,-8.42307692307692,15.2307692307692
0.25,0.85,-10.8076923076923,9.92307692307692
0.35,0.85,-11.3846153846154,3.53846153846154
0.45,0.85,-2.65384615384615,10.9615384615385
0.55,0.85,-10.4615384615385,13.2307692307692
0.65,0.85,-6.19230769230769,12.3461538461538
0.75,0.85,-5.07692307692307,10.8846153846154
0.85,0.85,-13.5384615384615,7.34615384615385
0.95,0.85,-0.269230769230768,12.5384615384615
0.05,0.95,-4.96153846153846,4.15384615384615
0.15,0.95,-7.46153846153846,6.46153846153846
0.25,0.95,1.76923076923077,1.53846153846154
0.35,0.95,-12.8846153846154,4.69230769230769
0.45,0.95,-2.57692307692308,9.46153846153846
0.55,0.95,-10.2307692307692,10.2307692307692
0.65,0.95,-7.38461538461538,4.65384615384616
0.75,0.95,-10.4230769230769,10.2692307692308
0.85,0.95,-10.2307692307692,6.26923076923077
0.95,0.95,-9.11538461538461,8.65384615384615
0.05,0.05,-2.19230769230769,0.346153846153846
0.15,0.05,11.7307692307692,1.34615384615385
0.25,0.05,0.615384615384617,-8.15384615384616
0.35,0.05,5.96153846153847,-7.57692307692308
0.45,0.05,-0.115384615384614,9.61538461538462
0.55,0.05,18.5384615384615,-9.5
0.65,0.05,4.15384615384616,16.0384615384615
0.75,0.05,11.8076923076923,-9
0.85,0.05,8.69230769230769,-5.26923076923077
0.95,0.05,2.76923076923077,7.88461538461539
0.05,0.15,-11.4615384615385,7.53846153846154
0.15,0.15,-12.2307692307692,11.2307692307692
0.25,0.15,15.7692307692308,13.0769230769231
0.35,0.15,-7.96153846153846,5.76923076923077
0.45,0.15,-11.9615384615385,-3.80769230769231
0.55,0.15,-7.88461538461538,-1.07692307692308
0.65,0.15,16.5769230769231,1.57692307692308
0.75,0.15,-15.8461538461538,9.92307692307692
0.85,0.15,-9.5,-15.3076923076923
0.95,0.15,-2.76923076923077,12.0384615384615
0.05,0.25,-10.9230769230769,9.73076923076923
0.15,0.25,3.46153846153846,4.57692307692308
0.25,0.25,-10.0384615384615,7.26923076923077
0.35,0.25,-11.0769230769231,5.5
0.45,0.25,-16.5,7.5
0.55,0.25,-7.07692307692308,-0.153846153846155
0.65,0.25,-4.57692307692307,10.0769230769231
0.75,0.25,5.07692307692308,7.15384615384616
0.85,0.25,-11.9615384615385,10.8461538461538
0.95,0.25,-5.8076923076923,3.03846153846154
0.05,0.35,-5.5,8.76923076923077
0.15,0.35,-11.7692307692308,10.8846153846154
0.25,0.35,-12.5384615384615,4.73076923076923
0.35,0.35,10.6153846153846,-0.26923076923077
0.45,0.35,3.57692307692308,5
0.55,0.35,8.65384615384616,9.07692307692308
0.65,0.35,-6.88461538461538,5.84615384615384
0.75,0.35,-5.19230769230769,8.46153846153846
0.85,0.35,4.80769230769231,11.1923076923077
0.95,0.35,-3.84615384615384,4.92307692307692
0.05,0.45,-14.2307692307692,8
0.15,0.45,-9.80769230769231,9.42307692307692
0.25,0.45,-3,17.8461538461538
0.35,0.45,7.84615384615385,3.15384615384615
0.45,0.45,-11.6923076923077,10.3076923076923
0.55,0.45,-7.07692307692307,9
0.65,0.45,5.92307692307692,0.769230769230769
0.75,0.45,-6.65384615384615,7.15384615384615
0.85,0.45,-11.9230769230769,11.5
0.95,0.45,19.3461538461538,2.96153846153846
0.05,0.55,-3.5,13.4230769230769
0.15,0.55,-8.84615384615384,14.2307692307692
0.25,0.55,-13.1923076923077,11.5769230769231
0.35,0.55,-3.76923076923077,10
0.45,0.55,-3.88461538461538,9.26923076923077
0.55,0.55,-11.1153846153846,11.8846153846154
0.65,0.55,3.19230769230769,6.92307692307692
0.75,0.55,-2.30769230769231,7.96153846153846
0.85,0.55,-12.1538461538462,3.34615384615385
0.95,0.55,-1.15384615384615,8.38461538461539
0.05,0.65,-5.69230769230769,5.96153846153846
0.15,0.65,-4.15384615384615,5.80769230769231
0.25,0.65,-11.3076923076923,10
0.35,0.65,-8.42307692307692,10.8461538461538
0.45,0.65,-11.2307692307692,4.96153846153846
0.55,0.65,-6.5,12.2307692307692
0.65,0.65,-7.38461538461538,12.4615384615385
0.75,0.65,-9.34615384615384,11
0.85,0.65,-11.2692307692308,7.03846153846154
0.95,0.65,-10.5384615384615,4.53846153846154
0.05,0.75,-8.03846153846154,7.76923076923077
0.15,0.75,-4.03846153846154,2.88461538461538
0.25,0.75,-2.11538461538461,6.34615384615385
0.35,0.75,-16,10.3846153846154
0.45,0.75,-10.3076923076923,10
0.55,0.75,-7.73076923076923,3.5
0.65,0.75,-0.461538461538461,9.80769230769231
0.75,0.75,-8.5,16.2692307692308
0.85,0.75,-2.07692307692308,4.15384615384616
0.95,0.75,1.11538461538462,10.7307692307692
0.05,0.85,-7.65384615384615,7.80769230769231
0.15,0.85,-8.92307692307692,9.57692307692308
0.25,0.85,2.11538461538462,6.69230769230769
0.35,0.85,-7.57692307692308,13.6538461538462
0.45,0.85,-1.84615384615384,8.46153846153846
0.55,0.85,-9,7.96153846153846
0.65,0.85,-5,10
0.75,0.85,-14.3076923076923,12.0769230769231
0.85,0.85,-8.92307692307692,9.07692307692308
0.95,0.85,-4.84615384615384,-0.230769230769231
0.05,0.95,-6.80769230769231,12.3076923076923
0.15,0.95,-13.3076923076923,8.61538461538461
0.25,0.95,-9.76923076923077,3.46153846153846
0.35,0.95,-3.80769230769231,14.5769230769231
0.45,0.95,-10,3.23076923076923
0.55,0.95,-7.73076923076923,5.15384615384615
0.65,0.95,-2.76923076923077,9.76923076923077
0.75,0.95,-1.30769230769231,7.61538461538461
0.85,0.95,-6.42307692307692,3.46153846153846
0.95,0.95,-3.69230769230769,5.03846153846154
0.05,0.05,19.6153846153846,8.80769230769231
0.15,0.05,-1.38461538461538,8.11538461538462
0.25,0.05,12.4230769230769,7.42307692307692
0.35,0.05,-14.7307692307692,9.11538461538461
0.45,0.05,-6.53846153846154,12.3846153846154
0.55,0.05,18.1923076923077,8.96153846153846
0.65,0.05,2.19230769230769,8.07692307692307
0.75,0.05,-0.769230769230766,-0.115384615384619
0.85,0.05,5.42307692307693,10.3076923076923
0.95,0.05,-9.96153846153846,9.26923076923077
0.05,0.15,-7.07692307692308,5.65384615384615
0.15,0.15,-2.8076923076923,0.653846153846153
0.25,0.15,-4.07692307692307,7.15384615384615
0.35,0.15,-2.76923076923077,7.07692307692307
0.45,0.15,2.15384615384616,12.3461538461538
0.55,0.15,6.50000000000001,1.11538461538461
0.65,0.15,11.9615384615385,5.57692307692308
0.75,0.15,12.2692307692308,-1.57692307692308
0.85,0.15,23.0769230769231,6.26923076923077
0.95,0.15,-0.230769230769225,7.07692307692308
0.05,0.25,-13.1153846153846,12.0384615384615
0.15,0.25,5.1923076923077,7.76923076923077
0.25,0.25,-12.6538461538461,15.0769230769231
0.35,0.25,-0.538461538461535,9.73076923076923
0.45,0.25,13.6538461538462,10.8076923076923
0.55,0.25,-5.38461538461538,10.6923076923077
