1,266.86,-269.36,545.73,565.46,2.3068,-0.97205,0.050454,0.26554,0.0050566,0.60786
3,222.27,-213.22,456.53,476.32,2.2011,0.00012348,0.98418,0.74726,0.00064602,0.073259
6,131.73,-123.41,275.46,295.25,7.9861,0.00012345,0.20991,0.28168,0.00034674,0.069866
7,159.41,-151.49,330.81,350.6,8.1561,0.00012341,0.081277,0.086459,0.00020509,0.015848
8,265.47,-268.14,542.93,562.72,3.5255,-1.3941,0.072623,0.064543,0.021979,0.12057
9,118.54,-122.13,249.08,268.78,7.6949,-9.997,0.40656,0.2057,0.0011278,0.020334
10,261.84,-252.17,535.68,555.47,1.4941,0.00012339,0.9643,0.83353,0.042355,0.24198
11,277.04,-267.3,566.09,585.88,0.83785,0.0001234,0.39753,0.0079262,0.82768,0.58832
12,265.19,-255.5,542.39,562.18,3.1323,0.00012343,0.24815,0.91947,0.094764,0.35068
13,156.78,-149.16,325.56,345.32,12.959,0.00012341,0.50139,0.20775,0.02815,0.0050156
14,166.52,-169.82,345.03,364.82,9.1017,-3.4934,0.30813,0.93155,0.057066,0.45262
15,251.45,-242.41,514.89,534.68,1.8853,0.00012345,0.98228,0.39227,0.011079,0.0018736
16,207.28,-197.82,426.56,446.29,3.5728,0.00012344,0.85923,0.3491,0.030241,0.06291
17,179.44,-183,370.88,390.67,6.5427,3.7854,0.16951,0.75984,5.1736e-05,0.092975
18,241.79,-244.21,495.59,515.35,2.5435,-1.3909,0.39474,0.49705,0.019895,0.029801
19,176.75,-179.64,365.51,385.3,5.1468,-3.4706,0.61843,0.3765,0.0093538,0.025241
20,250.62,-240.73,513.24,533.03,2.6048,0.00012343,0.48061,0.54895,0.081259,0.29672
21,116.2,-120.62,244.4,264.19,12.328,-9.9988,0.14474,0.32786,0.00043765,0.073736
22,92.126,-85.953,196.25,216.04,18.292,0.00012347,0.08569,0.12527,0.00037081,0.019612
23,197.47,-200.31,406.95,426.74,2.5788,-2.3421,0.6863,0.6115,0.0005546,0.017359
24,133.98,-141.62,279.97,299.73,29.251,-9.9996,0.062034,0.019348,0.082669,0.0094722
