matlab_id,1L,2L,4L,1LS,2LS,4LS,decay1a1e,decay1a2e,decay1a4e,decay2a1e,decay2a2e,decay2a4e,decay4a1e,decay4a2e,decay4a4e
1,549.25479380461,553.46934509627,561.060071288174,552.179532798332,558.782289017845,566.349239617007,557.516603574552,562.222421083319,569.109827561476,560.734281785904,565.457293484209,567.819594971374,571.355075289266,571.947063263113,578.45561046734
3,498.980151615316,481.643680042385,442.364664676094,495.498463690194,486.941057704742,447.661791369327,504.744209513796,471.374147916216,481.71357989066,485.646843746243,476.322381765871,428.760289019319,430.389283770039,431.73299431223,436.654776377277
6,322.017734739059,306.806032647253,316.109461352663,324.017005972653,312.103899615454,321.407337824529,333.117479410178,291.799635629906,301.078666026546,317.649022746103,295.252282735135,304.781852406283,326.929646443474,305.861140740142,311.912568103319
7,330.912533898567,334.540871486715,343.501793911493,336.21073996916,339.839125912236,348.80020632961,341.725203281317,345.177080716599,356.168559180536,345.335427468174,350.602646254486,360.900557393654,354.306123356109,359.796087646228,370.124531621538
8,554.824031049379,550.043285860674,556.32429701793,560.122903926403,555.342145353691,558.891713806326,560.687455449269,557.407934175532,565.471510958977,556.745541102085,562.724834686067,570.721554854572,564.375601672626,570.105086054363,583.143507916503
9,315.924410659803,269.146167488651,257.196310631905,312.488548765034,274.430157735752,251.813594844106,317.966203689179,267.335265347531,260.919379424585,266.820669218309,268.781603516567,263.379671147376,257.323859266649,262.522260374543,271.182022892374
10,546.667025948036,541.572499212683,551.100472517004,551.965847341109,546.87113686047,556.399212482198,555.435642926359,550.067402099926,557.901756738926,550.048001706239,555.468493941673,561.158391790189,557.773731475656,562.85900402567,571.410297337225
11,565.317490555986,570.533214038037,574.7290976214,570.615947264987,575.832210230094,580.027716187353,575.908923440369,581.206911397571,591.80347311462,580.563144388552,585.875019360392,590.673319397844,590.060540813291,589.760918564954,598.511851124188
12,537.405686949828,542.802411979388,532.410701878533,542.703741984391,548.100437656719,537.708846392407,548.362126169082,553.932029388548,559.248239795177,553.788754902193,562.175373343771,548.566317839084,543.275600117968,547.366968186325,555.231753562416
13,342.31904740332,334.423355816292,343.916463383619,347.611526770627,339.716259062705,349.209505965785,350.272439438589,351.499344945976,358.197718080474,344.928855825904,345.318878272335,352.7536401186,353.892638913571,354.706918116253,359.682945208513
14,475.382399335693,385.899342073599,384.413139657513,474.530736675598,381.663932134905,380.352595603221,387.578085237229,369.981371155808,376.265661548645,387.126304209413,364.823861674995,365.32114219735,384.092294552197,372.951516075373,371.62133834831
15,527.094829644638,523.432215425473,511.85022631032,532.391482957695,523.264365159037,517.148786417343,526.942807547536,528.862195383176,527.627155239075,530.758806679833,534.68443315912,520.278597745753,521.875505767333,518.689894670898,527.92664274786
16,466.634810110037,430.272153091207,435.328725800245,462.080937133178,435.559851919274,440.616453357766,458.070559306384,444.801996814116,450.926844885256,441.458046529563,446.290718450085,448.227298326186,446.127180349453,451.003921348089,456.697015128315
17,466.031783415197,469.953728864062,455.717491859886,456.985154608073,461.696473008239,450.361225180154,462.512359226563,464.093606828197,450.239234299758,491.032120112685,390.674071861326,400.42875392525,445.733851931883,379.74615266376,390.469761117535
18,502.083890979573,506.612283810009,515.398746136112,503.938063142943,508.644045012123,520.692613586733,505.005049982442,513.705445187693,520.54725798605,510.127690530674,515.349684658856,527.605457920373,518.065070179723,523.354074839257,533.306952990911
19,418.495422004191,387.456445448106,376.672039671895,417.436786223253,383.284299674469,372.676816829405,418.817712838985,389.912271796413,373.906049482601,382.621235012965,385.297833203997,367.680048783853,377.733659613174,387.813718802812,388.097162472337
20,532.658598336496,524.490578680403,526.107794723146,537.956236441487,529.788336371453,531.405721089293,522.61738098924,527.99984601861,537.316739027555,527.777763530864,533.026977823167,533.322432636072,538.312548007629,538.965586349848,541.863338912647
21,351.905476803269,350.62368551091,320.988529419924,344.278754639158,342.623086398988,311.762603919384,349.453146842584,289.798040786556,300.11358444251,355.125070990916,264.190246983421,271.732515215549,317.069535516843,270.629477401988,280.874472083869
22,197.983165580542,202.797112496515,211.625756979305,203.280242695935,208.358479882142,209.894514357899,209.07611559816,207.067033765973,220.892523877805,205.595206805099,216.041562685656,214.617309989611,222.636145878819,224.5182112153,222.594325503808
23,422.371354257238,423.015883857753,417.342133697061,422.61504716571,421.978974461837,416.592664523082,427.819902536769,421.601871172534,427.439057108291,426.196568567228,426.738362053874,432.479967768477,421.849943925269,427.086761769964,443.639655359423
24,316.712538681407,309.907622759425,287.422549505687,312.315274029328,304.351922673042,280.649315687432,291.769570351428,298.322733223374,296.819793014808,297.632804357757,299.729390344978,292.280354490649,282.857436842871,286.030865683231,296.308303042529
25,427.25743401412,421.426377531907,431.160180231511,429.084393950533,426.724104933317,436.457940740261,438.078016059837,433.050313008143,443.661108006446,432.235681604726,437.037991164829,447.819086875942,441.967410872955,443.389665327976,452.943346083361
26,408.486245694239,392.93399444719,400.529696108321,413.78404455998,398.231944400714,405.827736156789,419.342427032251,402.916495748659,413.379281156083,403.748631055256,407.709296155021,418.514331824062,411.34630424499,416.478511729999,427.33984097472
27,420.349879063528,331.611668769497,312.338282872816,416.693413308869,336.909123264058,317.637274456613,411.217996943713,313.177777435748,316.664448569545,362.607674189762,306.594754068526,312.083764580507,323.182889207916,313.272434681186,321.701948488217
28,400.072775943214,403.969359861184,390.558471375936,405.369947462257,409.266688137849,410.43507503451,405.491340684429,397.212094122553,408.315074137387,404.757732831611,393.572830820411,411.512795835426,399.362088465835,417.835206062571,402.7516373882
29,420.574091843261,399.144452978937,369.451110015283,420.983075740031,404.442198421855,374.889025516411,420.922159380533,407.518895349024,394.294417660724,406.565939182736,409.23949190182,386.790948384228,380.368984195609,384.352992065507,396.485194673627
30,515.910727202514,508.27484189151,516.070594662024,521.203383130324,513.567945049478,521.363588324488,526.412956934812,521.076056760699,531.878169528917,518.80923854258,523.875125225284,532.961853616208,526.198189763381,530.65397763505,538.991960480436
