matlab_id,1L,2L,4L
1,549.25479380461,553.469345094343,561.060070986775
3,498.980151615316,481.643680045692,442.364664450818
6,322.017734739059,306.806031704669,316.10946575169
7,330.912533898567,334.540872437712,343.5017957578
8,554.824031049379,550.043286460692,556.32429701793
9,315.924410659803,269.146167445188,257.196310381203
10,546.667025948036,541.572499212683,551.100472517004
11,565.317490555986,570.533214038037,574.7290976214
12,537.405686949828,542.802417739968,532.410701878533
13,342.31904740332,334.423356646967,343.916463475624
14,475.382399335693,385.899343229566,384.413139554756
15,527.094829644638,523.432216712896,511.850226336299
16,466.634810110037,430.272153114619,435.328725800245
17,466.031783415197,469.953730625297,455.717491994262
18,502.083890979573,506.612283736919,515.398746136112
19,418.495422004191,387.456445326451,376.672039671895
20,532.658598336496,524.490578532977,526.107794723146
21,351.905476803269,350.623692928638,320.988529419924
22,197.983165580542,202.79709770074,211.625756979305
23,422.371354257238,423.015883905994,417.342133662881
24,316.712538681407,309.907622778004,287.422549130779
25,427.25743401412,421.426377689665,431.160180272448
26,408.486245694239,392.933994209068,400.529695565928
27,420.349879063528,331.6116693582,312.338279725515
28,400.072775943214,403.969359207427,390.558470132379
29,420.574091843261,399.144452940703,369.451109715813
30,515.910727202514,508.274841915977,516.070594565551
31,532.891881886241,525.732723792295,526.918993823624
32,516.351875817841,520.280372029994,499.500937655382
33,565.153481437609,569.533456385886,578.647704969071
34,555.751954090311,536.932016646382,544.604178312291
35,442.363569894245,436.660083757957,427.442904367127
36,557.815723215379,559.723863465885,553.71502686508
37,462.047359089329,434.983630313198,424.055452351044
38,525.051049495261,468.358870475961,447.689315325358
39,553.354176679412,557.057799112592,561.479579913519
40,514.957646271852,510.333362347145,499.482363197899
41,487.119975970871,426.390099458273,404.28986762095
42,551.399342988511,555.787168847398,566.454165744088
43,536.480830334832,427.319061754778,397.774863110706
44,553.537872598674,551.209048290636,555.550814548961
45,551.027449454969,551.83729136875,557.569543151535
46,475.850504843002,479.706625994833,480.136692115435
47,502.848505991792,494.604606447177,495.626271985196
48,559.282093929234,546.865676759107,547.99449218875
49,555.660577952217,560.725830462614,567.514958102631
50,243.785307676943,212.632808905505,206.245785889203
51,561.557693457917,566.859567660172,575.295819959153
52,424.49722774822,317.329927452811,297.824509549221
53,217.0604439752,221.893532827704,197.474521412414
54,276.68459631144,281.95818650192,286.662340798345
55,452.703614920904,448.636493232645,442.790778146994
56,557.307671105289,561.729019785751,570.069639252041
57,536.703337501799,532.110327850438,509.861982591007
58,397.433343784127,402.928479778607,400.163401000739
59,443.240853518367,372.910025852624,359.997771140848
60,505.986861543785,504.708520814749,508.467445217925
61,553.138196791741,558.331350342438,554.519995613427
62,555.831743705391,533.419031566024,530.632304946596
63,515.258282680802,385.42255252735,363.325784328785
64,374.141595937485,330.596056721757,333.686285634855
65,489.239920452423,412.655999578616,415.241362647524
66,561.414788309406,566.847641871068,576.891122831693
68,498.345550779476,498.091805739729,486.858671733082
69,520.521519274252,469.441921748864,465.549410506386
70,403.014993712984,357.017009536865,337.833020481824
71,386.247832865206,321.849515274166,321.861278385282
72,373.733180947127,371.207990343433,337.943264918597
73,556.893512294033,562.294061519336,568.867898138018
74,552.18208349399,489.591329755632,497.82604795256
75,381.043967759213,385.69751387474,389.50296698327
76,515.289401324357,441.990315814867,445.624865935452
77,545.680807047257,547.561300285203,527.800354488298
78,560.657799446063,557.297620997279,567.749310532032
79,516.314492477618,521.038197373622,528.469285579595
81,450.059785809499,446.284488168351,448.998142282744
82,476.163516313169,478.28026360397,461.493018092601
83,507.825798331078,489.293444686163,499.824295781464
84,519.762532937969,505.404436234692,511.82860011874
85,560.141689427099,564.604132704064,571.325551424803
87,561.716964633308,564.707795745616,573.546102245132
88,288.039614459988,254.065086556301,246.012095393334
89,530.834168843443,538.542945655596,543.081862770395
90,529.354064708525,534.652274786989,542.965386234037
91,505.792452611659,465.856801474196,473.791295402497
92,561.410626850662,566.321138612984,571.3375627043
93,259.90305443792,259.442443519002,270.12699680849
94,514.540395623342,512.348060912815,518.514505628804
95,480.621702268401,484.728309119488,493.325467916261
96,501.238467397841,364.56838512167,348.898985600799
97,558.475690348517,563.627672213039,573.117132512998
98,369.793642017241,339.111883297533,342.027275781811
99,469.566019052527,472.486133052196,474.851966896855
100,522.553807448879,520.791689264552,531.013753061811
103,436.987895833304,436.308732731212,427.893970749921
104,453.077443361757,430.623163690116,436.194483646986
105,562.227069778787,567.226424779714,576.567432885294
106,562.453083381246,560.66510697543,552.651830851148
107,492.192621071272,493.589541908828,503.402599825256
108,534.979691891961,530.265289265874,539.393801204766
109,545.321153102507,545.496041187168,548.593407550473
110,556.819362009182,561.23495864727,512.377260032582
111,357.843193409727,356.01544316748,355.229618923476
112,306.936859224408,241.775995564077,244.842646343938
113,459.838673360221,463.92288656458,472.972326596015
114,363.362321522584,291.680274717289,296.114533345956
115,449.770148917501,451.521398397245,417.684260360781
116,532.720477247942,530.142368439365,513.239700773083
117,540.716419729751,543.680886572412,509.493991571745
119,475.802043837431,481.099529217569,473.180357230136
120,542.168793671563,547.465469322862,556.467907897261
122,548.313131916278,544.470351515319,550.974917987813
124,400.070762394015,180.5860215889,163.295232200424
125,416.164198446294,421.507140882318,430.902689286935
126,564.370200913023,569.43059999484,578.279607535466
127,526.651751851543,516.779889309436,515.993882063378
128,314.327013171831,306.604252445523,298.712129446947
129,529.074298158529,446.017751775315,455.78311031064
130,406.091809273335,360.538311211675,361.925671529717
131,551.215212496742,554.587360332039,564.074211226742
132,445.142445204112,450.481898815143,456.99833953796
133,564.811070532299,434.361304405692,434.41650977932
134,549.909356134713,550.943720087929,543.080192364874
135,561.220670474427,557.120450579978,556.268363596938
136,482.847588030577,485.518643625289,452.714004784128
137,122.925070279519,121.879949106839,119.268099459115
138,487.983076082748,482.834944625607,481.108154014098
139,561.286241839612,566.702355193484,577.161979304564
140,559.676498039944,560.725205397306,563.731594538323
141,515.360163516757,505.385282660684,483.258407360547
142,507.394160744514,259.330224975938,245.911340138782
143,437.478564053942,441.300759616783,404.703294453612
144,405.427597288115,385.89334350428,394.150020050159
145,559.312076138868,563.986041078566,573.304083011593
146,564.630747476138,563.010807480377,555.828415440228
147,449.882124095133,450.096125936584,414.40975761172
149,563.712256109788,569.023191823021,579.461630302067
150,463.673610441122,462.096098659386,455.148212577605
151,521.448273768789,516.547666913275,514.958626536333
152,346.710611438897,351.227054713894,357.385249601666
153,562.526292271459,564.806915636827,575.126729786636
154,486.092583259699,488.764220357894,491.706840700221
