matlab_id,1L,2L,4L
1,542.678259743221,543.604544002259,544.618735833303
3,492.38351688222,471.748727946048,425.873077618078
6,315.421100005963,296.911079605025,299.617878918949
7,324.315899165471,324.645920338068,327.01020892506
8,548.227396316282,540.148334361048,539.83271018519
9,309.358003202327,259.296556258974,240.780291737513
10,540.07039121494,531.677547113039,534.608885684264
11,558.72085582289,560.638261938392,558.23751078866
12,530.809052216732,532.907465640324,515.919115045793
13,335.732437753871,324.543442172793,327.449939352001
14,468.785764602597,376.004391129922,367.921552722015
15,520.498194911542,513.537264613252,495.358639503559
16,460.058276048648,420.407352022535,418.887390646773
17,459.435148682101,460.058778525653,439.225905161522
18,495.497281330124,496.732369262745,498.93222201249
19,411.898787271095,377.561493226807,360.180452839155
20,526.0619636034,514.595626433333,509.616207890405
21,345.308842070173,340.728740828994,304.496942587184
22,191.386530847446,192.902145601096,195.134170146565
23,415.774719524142,413.12093180635,400.850546830141
24,310.125929031958,300.027708303831,270.956025007157
25,420.660799281024,411.531425590021,414.668593439708
26,401.889610961143,383.039042109424,384.038108733188
27,413.753244330432,321.716717258556,295.846692892775
28,393.476141210118,394.074407107783,374.066883299639
29,413.977457110165,389.249500841059,352.959522883072
30,509.324117553065,498.394927441803,499.604070441928
31,526.295247153145,515.83777169265,510.427406990884
32,509.765266168392,510.40045755582,483.034413531759
33,558.556846704513,559.638504286242,562.156118136331
34,549.155319357215,527.037064546738,528.112591479551
35,435.766935161149,426.765131658313,410.951317534386
36,551.219088482283,549.828911366241,537.223440032339
37,455.450724356233,425.088678213553,407.563865518304
38,518.454414762165,458.463918376317,431.197728492618
39,546.757541946316,547.162847012947,544.987993080779
40,508.361011538756,500.4384102475,482.990776365159
41,480.523341237775,416.495147358628,387.79828078821
42,544.853343871383,545.968170171707,550.089167951269
43,529.904296273443,417.454260662695,381.333527957234
44,546.941237865578,541.314096190992,539.059227716221
45,544.45091539358,541.972490276667,541.128207998062
46,469.253870109906,469.811673895189,463.645105282695
47,496.251871258696,484.709654347533,479.134685152456
48,552.695484279785,536.985762284934,531.527968065127
49,549.073968302768,550.845915988441,551.048433979008
50,237.188672943847,202.737856805861,189.754199056463
51,554.961058724821,556.964615560528,558.804233126413
52,417.900593015124,307.434975353167,281.332922716481
53,210.463809242104,211.99858072806,180.982934579673
54,270.087961578344,272.063234402276,270.170753965605
55,446.106980187808,438.741541133001,426.299191314254
56,550.72106145584,551.849105311578,553.603115128419
57,530.106702768703,522.215375750794,493.370395758267
58,390.836709051031,393.033527678963,383.671814167999
59,436.644218785271,363.01507375298,343.506184308108
60,499.482314687692,494.951700530609,492.206078077692
61,546.541562058645,548.436398242794,538.028408780686
62,549.235108972295,523.52407946638,514.140718113856
63,508.661647947706,375.527600427706,346.834197496045
64,367.544961204389,320.701104622113,317.194698802115
65,482.643285719327,402.761047478972,398.749775814784
66,554.81815357631,556.952689771424,560.399535998953
68,491.748916046379,488.196853640085,470.367084900342
69,513.924884541156,459.54696964922,449.057823673645
70,396.418358979887,347.122057437221,321.341433649084
71,379.661223215757,311.969600799993,305.39475426166
72,367.136546214031,361.313038243789,321.451678085857
73,550.306902644584,552.414147045162,552.401374014396
74,545.595473844541,479.711415281459,481.359523828938
75,374.447333026117,375.802561775096,373.01138015053
