matlab_id,1L,2L,4L,1LS,2LS,4LS,decay1a1e,decay1a2e,decay1a4e,decay2a1e,decay2a2e,decay2a4e,decay4a1e,decay4a2e,decay4a4e
1,542.678259743221,543.604544004186,544.618736134701,542.314731706248,545.629220895067,546.61963743284,544.363535451774,545.781085929847,546.091958346614,544.292946632432,545.727691300041,541.513458725818,548.337206074404,545.640927017557,545.572940160395
3,492.38351688222,471.748727942741,425.873077843354,485.60351159055,473.74778823855,427.871887170039,491.550940047604,454.882561083476,458.625358324824,469.155256913503,456.532477566583,402.373750086934,407.301062204203,405.346455379845,403.671602711797
6,315.421100005963,296.911080547609,299.617874519922,314.122053873009,298.910630149262,301.61743362524,319.924209943986,275.308048797166,277.99044446071,301.157435913363,275.462378535847,278.395313473899,303.841424877638,279.474601807758,278.929394437839
7,324.315899165471,324.645919387071,327.010207078753,326.315787869515,326.645856446044,329.010302130322,328.531933815125,328.685493883858,333.0803376147,328.843840635434,330.812742055198,334.51401846127,331.217901790272,333.409548713843,337.141357956057
8,548.227396316282,540.14833376103,539.83271018519,550.227951826758,542.148875887499,539.101809607038,547.494185983076,540.916347342791,542.38328939314,540.253954269345,542.934930486779,544.335015922187,541.28738010679,543.718547121979,550.160334251022
9,309.358003202327,259.296556302437,240.780291988215,302.63893757882,261.2973428208,232.114372471678,304.833388774227,250.919246703841,237.93695332342,250.40465057462,249.082381144139,237.114041317472,234.341433165483,236.256630544639,238.349985604994
10,540.07039121494,531.677547113039,534.608885684264,542.070895241464,533.677867394278,536.60930828291,542.242373460167,533.575815267186,534.81353517309,533.556414873499,535.678589742385,534.771852857805,534.685509909819,536.472465093286,538.427123671744
11,558.72085582289,560.638261938392,558.23751078866,560.720995165343,562.638940763902,560.237811988065,562.715653974177,564.715324564831,568.715251548783,564.071557555812,566.085115161104,564.28678046546,566.972319247455,563.374379632569,565.528677458708
12,530.809052216732,532.907459879744,515.919115045793,532.808789884747,534.907168190526,517.918942193119,535.16885670289,537.440442555808,536.160018229341,537.297168069453,542.385469144483,522.179778906699,520.187378552131,520.980429253941,522.248579896935
13,335.732437753871,324.543441342119,327.449939259997,337.731612296453,326.543039763807,329.449677017438,337.099220139691,335.032820822354,335.144584307402,328.462331702281,325.559049323988,326.407201520804,330.8395051405,328.360479518458,326.749896961268
14,468.785764602597,376.004389973955,367.921552824773,464.635784575953,368.470662668713,360.562691403933,374.384815771037,353.489784323068,353.177439982809,370.634717376673,345.033957475707,338.934603264966,361.004072986361,346.564977142989,338.63816468283
15,520.498194911542,513.537263325829,495.35863947758,522.496530858051,510.071095692844,497.358882218055,513.749538081344,512.370608550436,504.538933673238,514.267219847093,514.894528959831,493.892058813369,498.787284201497,492.303355738514,494.94346908238
16,460.058276048648,420.407351999123,418.887390646773,452.216136041094,422.406783796496,420.886851173599,444.917491183606,428.360661660643,427.908975670395,425.016711376091,426.561116265918,421.92116208063,423.109311134591,424.697785102532,423.81434482137
