matlab_id,1L,2L,4L,1LS,2LS,4LS
1,549.25479386687,553.469345079463,561.060071798522,552.179532824477,555.833806776677,564.206966244738
3,498.980150417909,481.643680298828,442.364664053114,495.498467472131,486.941185650943,442.610346645539
6,322.01773732018,306.80602977748,316.109458613476,327.315096236138,312.103911963002,321.407337777644
7,330.912533417867,334.540871835443,343.501795117001,336.21069692493,339.839121527673,348.800239136403
8,554.824030234286,550.043285394202,556.32429792742,557.473687106956,552.566548707306,558.891714713422
9,315.924412082715,269.146167528428,257.196309869686,312.488548766445,264.071042637353,251.813594616022
10,546.667025796489,541.57251011636,551.100520352339,551.965593445013,546.871130521849,556.39921687121
11,565.317490489784,570.533214662947,574.729094596712,570.77048130035,575.832215406628,580.027715856864
12,537.405685772213,542.802418334069,532.410703452429,542.703781075867,548.100454800097,537.708880521255
13,342.319047808119,334.423356540471,343.916463534565,347.611525221495,339.716250427858,349.209501023383
14,475.382399335655,385.899341858566,384.413139718008,474.530736173412,391.198761760836,380.352596079947
15,527.094829657026,523.43221681486,511.850226360381,532.392943054449,528.729324891566,517.147763634926
16,466.634809995619,430.272153121967,435.328725770546,471.921107476413,435.559852011119,440.616166360095
17,466.031790982936,469.95373239897,455.71749222623,471.327744527231,461.696472786018,450.361229822365
18,502.0838910593,506.61228380801,515.3987465917,503.938063148419,511.906167079246,517.605852546211
19,418.495422052584,387.456445539526,376.672039637575,417.436786260333,383.284299695452,372.67681682455
20,532.658597938276,524.490578311652,526.107794650044,537.956230419201,529.788333837418,531.405785865255
21,351.905477876208,350.623686936857,320.988528662146,344.278754882762,342.623119059754,311.762600904811
22,197.983165044491,202.797129331582,211.625760976943,195.907973553993,208.094254811399,209.894520632551
23,422.371354213228,423.015883894884,417.342133674762,422.615047225872,421.978974424642,416.592664559426
24,316.712539008494,309.907622621336,287.42255417084,312.315272919286,304.351923609271,280.649315058744
25,427.257434699429,421.426377572511,431.160180398115,432.55501833783,426.724097285153,436.458051728802
26,408.486245937075,392.933996463492,400.529694368099,413.78404285972,398.231931696913,405.827726213962
27,420.349880308524,331.611669096062,312.338281195313,416.693413230353,336.910399509977,314.054010189159
28,400.07277612016,403.969358719253,390.558470081978,400.075662363747,409.266730078172,395.855708126441
29,420.574091956357,399.144453033263,369.591063662118,420.983075661223,404.442197879876,374.889025776419
30,515.910727208794,508.27484189171,516.070594711536,521.203384709564,513.567942857465,521.363588575063
31,532.89188378633,525.732723897649,526.918993380589,534.358875142464,531.033231939128,529.453667846275
32,516.351875146255,520.280371287394,499.506147321705,519.271294247678,523.083166979248,503.265952107504
33,565.15348160349,569.533278712873,578.647708479098,570.470869111151,574.832180954679,583.94787089232
34,555.751954260853,536.932021586877,544.604178998717,543.844518596336,542.232878822926,549.902324110747
35,442.363571571341,436.660083190274,427.442904384896,437.040172239471,430.402572629569,419.166953052613
36,557.815723222467,559.723863472899,553.715026927534,563.114143492141,565.022189633016,559.013272162191
37,462.047359759851,434.98362113096,424.05545113152,467.345682525606,440.281879860309,429.353643537009
38,525.051049473304,468.358870503577,447.689315267985,527.873967335041,469.39951890407,452.989725917012
39,553.354176612277,557.057799204181,561.479827461653,558.652485255723,562.356046383743,566.776546565107
40,514.957646316992,510.333361843891,499.48236361259,520.256115671138,515.631865471621,504.780972543238
41,487.11997850121,426.390099609908,404.289867181703,476.411637707471,421.860447622839,409.587464917719
42,551.399342958377,555.787196588454,566.454164434763,556.671849447825,561.05947203965,571.729968282022
43,536.48083032628,427.319061160562,397.774860636772,541.768738274022,432.607005859954,403.062901151553
44,553.53787266365,551.209049116307,555.550814630532,558.835316099546,556.506667672697,560.848734316353
45,551.027449456972,551.837291365786,557.569543015299,556.313407720956,548.516925068819,554.291996146373
46,475.850504704797,479.70662590097,480.136692116233,466.112812182499,471.449128041903,485.434124578815
47,502.848505716014,494.604606472581,495.626271390921,508.144948877466,499.902171666721,500.924349676499
48,559.282096228732,546.865674339041,547.994492871899,567.278770131578,548.860066024853,553.287507746087
49,555.660577889698,560.725830314277,567.514959129205,558.262725086607,563.235708582549,569.641027071856
50,243.785306730879,212.632787775223,206.245788448211,249.091473554817,217.929575906604,211.543605174085
51,561.557693021806,566.859567538903,575.295813194383,566.856313675053,572.158046666007,580.595620973387
52,424.497230963489,317.329927375678,297.824509255805,425.014589976153,322.627934828084,303.122308078412
53,217.060445575998,221.893527156474,197.474520495572,222.35799866718,227.191165421962,202.77217451636
54,276.68459472279,281.958184425775,286.662340854519,277.392719221499,287.255992599436,287.390203054391
55,452.703614095017,448.636493032179,442.79077807758,458.002247716728,453.934987014229,448.089193631468
56,557.307671223327,561.729019853107,570.069638854797,562.600309466987,567.021695643068,575.362337749569
57,536.703337487044,532.110327335189,509.861980623812,542.001155219434,537.408501787315,515.159942144671
58,397.433343888427,402.928476799088,400.163401612071,401.881836873822,407.391614828194,403.183919816892
59,443.240853377451,372.910026032169,359.997767632648,448.538404523694,378.208196235817,365.296199159305
60,505.986861563353,504.708520790593,508.467445401602,511.239457290247,509.961349943112,512.18034531466
61,553.138196712708,558.331350343923,554.519995688657,558.436578822654,563.629706754129,559.818351959083
