1,268.8,-270.77,543.6,553.47,0.77277,0.62003,0.25385
3,232.87,-235.11,471.75,481.64,2.1219,0.96475,0.23709
6,145.46,-150.6,296.91,306.81,18.312,0.059907,0.041708
7,159.32,-163.01,324.65,334.54,10.543,0.062596,0.046409
8,267.07,-269.79,540.15,550.04,4.0163,0.043195,0.015838
9,126.65,-129.69,259.3,269.15,8.0912,0.34481,0.099345
10,262.84,-264.86,531.68,541.57,1.3928,0.74217,0.18719
11,277.32,-279.62,560.64,570.53,0.12818,0.7588,0.098575
12,263.45,-267.01,532.91,542.8,8.9373,0.024227,0.023363
13,159.27,-163.07,324.54,334.42,12.404,0.22612,0.17087
14,185,-188.58,376,385.9,10.44,0.1381,0.058394
15,253.77,-255.77,513.54,523.43,1.647,0.76923,0.38909
16,207.2,-209.53,420.41,430.27,3.9751,0.39556,0.13282
17,227.03,-232.17,460.06,469.95,17.307,0.022075,0.016256
18,245.37,-247.59,496.73,506.61,3.0545,0.16484,0.20619
19,185.78,-188.37,377.56,387.46,5.7879,0.42115,0.18794
20,254.3,-256.68,514.6,524.49,3.1621,0.13182,0.045302
21,167.36,-174.83,340.73,350.62,30,0.034376,0.029741
22,93.451,-100.7,192.9,202.8,29.389,0.054106,0.05522
23,203.56,-205.65,413.12,423.02,2.7434,0.6477,0.40305
24,147.01,-150.53,300.03,309.91,9.8523,0.1016,0.047459
25,202.77,-205.49,411.53,421.43,5.8849,0.15573,0.091969
26,188.52,-192.33,383.04,392.93,11.557,0.09286,0.062453
27,157.86,-162.52,321.72,331.61,15.819,0.073139,0.040048
28,194.04,-197.33,394.07,403.97,8.5166,0.076801,0.052767
29,191.62,-193.94,389.25,399.14,3.9503,0.82994,0.3322
30,246.2,-248.32,498.39,508.27,2.703,0.3978,0.19752
31,254.92,-257.3,515.84,525.73,2.1996,0.14636,0.012982
32,252.2,-255.7,510.4,520.28,8.7188,0.030946,0.020629
33,276.82,-279.12,559.64,569.53,0.29272,0.023117,0.72276
34,260.52,-262.92,527.04,536.93,1.2842,0.90833,0.0070327
35,210.38,-213.55,426.77,436.66,7.7148,0.083945,0.042944
36,271.91,-273.96,549.83,559.72,1.1579,0.09967,0.35206
37,209.54,-216.2,425.09,434.98,25.905,0.028327,0.046471
38,226.23,-228.44,458.46,468.36,2.8823,0.4644,0.08502
39,270.58,-272.66,547.16,557.06,1.4358,0.11064,0.21087
40,247.22,-250.49,500.44,510.33,7.4248,0.042244,0.01572
41,205.25,-209.08,416.5,426.39,10.623,0.044609,0.01694
42,269.98,-272.38,545.97,555.79,0.28335,0.0081474,0.68262
43,205.73,-209.34,417.45,427.32,6.5282,0.037511,0.00012564
44,267.66,-270,541.31,551.21,1.5534,0.12828,0.011552
45,267.99,-269.97,541.97,551.84,1.0635,0.52935,0.17158
46,231.91,-234.35,469.81,479.71,4.5211,0.18618,0.15202
47,239.35,-241.43,484.71,494.6,2.3358,0.57399,0.18894
48,265.49,-267.8,536.99,546.87,1.0801,0.70792,0.0071347
49,272.42,-274.45,550.85,560.73,1.0529,0.21781,0.16994
50,98.369,-105.09,202.74,212.63,26.958,0.084177,0.06603
51,275.48,-277.47,556.96,566.86,0.41955,0.55326,0.5815
52,150.72,-153.8,307.43,317.33,7.8751,0.21784,0.055942
53,103,-109.14,212,221.89,23.046,0.035234,0.027148
54,133.03,-140.27,272.06,281.96,29.127,0.044061,0.042743
55,216.37,-219.08,438.74,448.64,5.1794,0.095423,0.049188
56,272.92,-275.07,551.85,561.73,1.6508,0.13859,0.090898
57,258.11,-260.36,522.22,532.11,1.0794,0.98857,0.35773
58,193.52,-197.08,393.03,402.93,10.028,0.06403,0.061555
